Transaction_Date,arima_pred
2025-07-16,445.8826942421232
2025-07-17,515.2707473916191
2025-07-18,391.6785841745133
2025-07-19,334.52426190367385
2025-07-20,461.3595222657823
2025-07-21,529.6916807790944
2025-07-22,430.04955189758044
2025-07-23,467.7194390188897
2025-07-24,539.8549343631805
2025-07-25,441.818562270033
2025-07-26,325.20953935692256
2025-07-27,434.67826709753064
2025-07-28,490.83399233144445
2025-07-29,421.3167760425953
2025-07-30,445.88939234792434
2025-07-31,568.8042013604447
2025-08-01,481.13697488667356
2025-08-02,360.77848165474006
2025-08-03,414.25430697843194
2025-08-04,480.639857313053
2025-08-05,386.6835439541562
2025-08-06,420.081404287171
2025-08-07,552.3108912452622
2025-08-08,526.8551581386045
2025-08-09,388.92915467582753
2025-08-10,435.8858497930361
2025-08-11,474.731773561068
2025-08-12,382.246787440354
2025-08-13,368.4565584894012
2025-08-14,528.6176303284784
