Transaction_Date,arima_pred
2025-07-11,454.21273131306566
2025-07-12,470.88967802353284
2025-07-13,464.26926634614847
2025-07-14,482.3236773718601
2025-07-15,536.787341666641
2025-07-16,537.1220867402262
2025-07-17,523.1911826895281
2025-07-18,517.5693266267937
2025-07-19,486.64062509810026
2025-07-20,466.4834096010171
2025-07-21,477.0493601338564
2025-07-22,488.1415484250834
2025-07-23,503.62452959722566
2025-07-24,523.3908623441423
2025-07-25,524.0178907030548
2025-07-26,511.91390635865815
2025-07-27,500.05723044411604
2025-07-28,486.4356052555632
2025-07-29,480.2452675401314
2025-07-30,487.63702011264434
2025-07-31,498.85496280492913
2025-08-01,508.89737052332254
2025-08-02,515.4639367079753
2025-08-03,512.9124939103796
2025-08-04,503.80587618483116
2025-08-05,495.034327241202
2025-08-06,489.33179857189504
2025-08-07,489.27577385798793
2025-08-08,495.39439047757975
2025-08-09,503.09396048374066
