Transaction_Date,arima_pred
2025-07-19,1853.0467425330555
2025-07-20,2744.326893737663
2025-07-21,1771.945259467991
2025-07-22,715.033428188548
2025-07-23,2277.766356482162
2025-07-24,3228.663220140752
2025-07-25,1595.094727295199
2025-07-26,766.8246773988697
2025-07-27,2275.121641031511
2025-07-28,2956.4848429298145
2025-07-29,1593.6659012804498
2025-07-30,1028.760588635285
2025-07-31,2233.5532966041883
2025-08-01,2689.381867803021
2025-08-02,1622.6277690801955
2025-08-03,1252.445612871239
2025-08-04,2189.8753674948803
2025-08-05,2484.6636242083423
2025-08-06,1659.0660136714273
2025-08-07,1424.1827063376713
2025-08-08,2148.414850138337
2025-08-09,2332.1444611366524
2025-08-10,1696.1572253457832
2025-08-11,1553.3498454624082
2025-08-12,2110.4380233163756
2025-08-13,2219.0366492352955
2025-08-14,1730.9436734383726
2025-08-15,1649.708505043508
2025-08-16,2076.587142852123
2025-08-17,2135.3664328284694
